id	length	tokens	group	pubYear	title	author	source	lat	lon	incipit	
11	66	11	Märchen	1900	Die Störche	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+St%C3%B6rche			Auf dem letzten Hause in einem kleinen Dorfe stand ein Storchnest.
12	133	20	Märchen	1900	Die Hirtin und der Schornsteinfeger	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Hirtin+und+der+Schornsteinfeger			Hast Du wohl je einen recht alten Holzschrank, ganz schwarz vom Alter und mit ausgeschnitzten Schnörkeln und Laubwerk daran, gesehen?
13	65	10	Märchen	1900	Das Feuerzeug	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Das+Feuerzeug			Es kam ein Soldat auf der Landstraße dahermarschiert: Eins, zwei!
14	92	16	Märchen	1900	Der Reisekamerad	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Reisekamerad			Der arme Johannes war tief betrübt, denn sein Vater war sehr krank und konnte nicht genesen.
15	100	20	Märchen	1900	Die Nachtigall	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Nachtigall			In China, weißt Du ja wohl, ist der Kaiser ein Chinese, und alle, die er um sich hat, sind Chinesen.
16	280	48	Märchen	1900	Der Engel	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Engel			Jedesmal, wenn ein gutes Kind stirbt, kommt ein Engel Gottes zur Erde hernieder, nimmt das tote Kind auf seine Arme, breitet die großen, weißen Flügel aus und pflückt eine ganze Hand voll Blumen, welche er zu Gott hinaufbringt, damit sie dort noch schöner als auf der Erde blühen.
17	306	57	Märchen	1900	Der fliegende Koffer	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+fliegende+Koffer			Es war einmal ein Kaufmann, der war so reich, daß er die ganze Straße und fast noch eine kleine Gasse mit Silbergeld pflastern konnte; aber das that er nicht, er wußte sein Geld anders anzuwenden, und gab er einen Groschen aus, so bekam er einen Thaler wieder, ein so kluger Kaufmann war er – bis er starb.
18	134	23	Märchen	1900	Die wilden Schwäne	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+wilden+Schw%C3%A4ne			Weit von hier, da, wohin die Schwalben fliegen, wenn wir Winter haben, wohnte ein König, der elf Söhne und eine Tochter, Elisa, hatte.
19	62	10	Märchen	1900	Die Blumen der kleinen Ida	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Blumen+der+kleinen+Ida			»Meine armen Blumen sind ganz verwelkt!« sagte die kleine Ida.
20	103	18	Märchen	1900	Die Stopfnadel	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Stopfnadel			Es war einmal eine Stopfnadel, die sich so fein dünkte, daß sie sich einbildete, eine Nähnadel zu sein.
21	377	69	Märchen	1900	Der kleine Tuk	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+kleine+Tuk			Ja, das war der kleine Tuk; er hieß eigentlich nicht Tuk, aber zu der Zeit, als er noch nicht richtig sprechen konnte, da nannte er sich selbst Tuk; das soll Karl bedeuten, und es ist gut, wenn man das weiß; er sollte auf seine Schwester Marie achtgeben, die noch viel kleiner als er war, und dann sollte er auch seine Aufgabe lernen, aber beides wollte nicht auf einmal gehen.
22	197	32	Märchen	1900	Fliedermütterchen	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Fliederm%C3%BCtterchen			Es war einmal ein kleiner Knabe, der hatte sich erkältet; er war ausgegangen und hatte nasse Füße erhalten, niemand konnte begreifen, woher er sie erhalten hatte, denn es war ganz trockenes Wetter.
23	208	33	Märchen	1900	Das alte Haus	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Das+alte+Haus			Da stand in einer Nebenstraße ein altes, altes Haus, welches fast dreihundert Jahre alt war; denn das konnte man an dem Balken lesen, wo die Jahreszahl zugleich mit Tulpen und Hopfenranken ausgeschnitten war.
24	18	3	Märchen	1900	Der Flachs	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Flachs			Der Flachs blühte.
25	272	49	Märchen	1900	Die glückliche Familie	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+gl%C3%BCckliche+Familie			Das größte grüne Blatt hier zu Lande ist sicherlich das Klettenblatt; hält man es vor seinen kleinen Leib, so ist es gerade wie eine ganze Schürze, und legt man es auf seinen Kopf, dann ist es im Regenwetter fast ebenso gut wie ein Regenschirm, denn es ist ungeheuer groß.
26	189	32	Märchen	1900	Das Liebespaar	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Das+Liebespaar			Ein Kreisel und ein Ball lagen im Kasten beisammen unter anderem Spielzeug, und da sagte der Kreisel zum Ball: »Wollen wir nicht Brautleute sein, da wir doch in dem Kasten zusammen liegen?«
27	143	26	Märchen	1900	Des Kaisers neue Kleider	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Des+Kaisers+neue+Kleider			Vor vielen Jahren lebte ein Kaiser, der so ungeheuer viel auf neue Kleider hielt, daß er all' sein Geld dafür ausgab, um recht geputzt zu sein.
28	159	22	Märchen	1900	Elfenhügel	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Elfenh%C3%BCgel			Einige große Eidechsen liefen schnellfüßig in den Spalten eines alten Baumes umher; sie konnten einander gut verstehen, denn sie sprachen die Eidechsensprache.
29	24	5	Märchen	1900	Die Schneekönigin	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Schneek%C3%B6nigin/Erste+Geschichte			Seht, nun fangen wir an.
30	292	47	Märchen	1900	Holger Danske	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Holger+Danske			In Dänemark liegt ein altes Schloß, das heißt Kronburg, es liegt ganz dicht am Sund, wo die großen Schiffe jeden Tag zu Hunderten vorbeifahren, sowohl englische, als russische und deutsche, und sie begrüßen das alte Schloß mit Kanonen: »Bum!« und das alte Schloß antwortet mit Kanonen: »Bum!«
31	280	49	Märchen	1900	Die kleine Seejungfrau	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+kleine+Seejungfrau			Weit hinaus im Meer ist das Wasser so blau, wie die Blätter der schönsten Kornblume, und so klar, wie das reinste Glas, aber es ist sehr tief, tiefer als irgend ein Ankertau reicht; viele Kirchtürme müßten auf einander gestellt werden, um vom Boden bis über das Wasser zu reichen.
32	67	12	Märchen	1900	Der unartige Knabe	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+unartige+Knabe			Es war einmal ein alter Dichter, so ein recht guter, alter Dichter.
33	180	25	Märchen	1900	Die Galoschen des Glückes	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Galoschen+des+Gl%C3%BCckes/1.+Ein+Anfang			In einem Hause in Kopenhagen, nicht weit vom Königsneumarkt, war eine Gesellschaft eingeladen, eine sehr große Gesellschaft, um von den Eingeladenen wieder Einladungen zu erhalten.
34	108	17	Märchen	1900	Die Prinzessin auf der Erbse	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Prinzessin+auf+der+Erbse			Es war einmal ein Prinz, der wollte eine Prinzessin heiraten, aber es sollte eine wirkliche Prinzessin sein.
35	224	41	Märchen	1900	Die roten Schuhe	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+roten+Schuhe			Da war ein kleines Mädchen, fein und niedlich, aber im Sommer mußte sie immer mit bloßen Füßen gehen, denn sie war arm, und im Winter mit großen Holzschuhen, sodaß der kleine Fuß ganz rot wurde, und das sah zum Erbarmen aus.
36	249	41	Märchen	1900	Die Springer	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Springer			Der Floh, der Grashüpfer und der Springbock wollten einmal sehen, wer von ihnen am höchsten springen könne und da luden sie jeden ein, der kommen wollte, die Pracht mit anzusehen, und es waren drei tüchtige Springer, die sich im Zimmer versammelten.
37	401	69	Märchen	1900	Der Rosenelf	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Rosenelf			Mitten in einem Garten wuchs ein Rosenstock, der war ganz voller Rosen, und in einer derselben, der schönsten von allen, wohnte ein Elf; er war so winzig klein, daß kein menschliches Auge ihn erblicken konnte; hinter jedem Blatte in der Rose hatte er eine Schlafkammer; er war so wohlgebildet und schön, wie nur ein Kind sein konnte und hatte Flügel von den Schultern bis gerade hinunter zu den Füßen.
38	59	9	Märchen	1900	Die alte Straßenlaterne	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+alte+Stra%C3%9Fenlaterne			Hast Du die Geschichte von der alten Straßenlaterne gehört?
39	122	20	Märchen	1900	Das kleine Mädchen mit den Schwefelhölzern	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Das+kleine+M%C3%A4dchen+mit+den+Schwefelh%C3%B6lzern			Es war fürchterlich kalt; es schneite und begann dunkler Abend zu werden, es war der letzte Abend im Jahre, Neujahrsabend!
40	99	18	Märchen	1900	Die Nachbarfamilien	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Nachbarfamilien			Man hätte wahrlich glauben mögen, daß in dem Dorfteiche etwas im Werke sei, aber da irrte man sich!
41	349	57	Märchen	1900	Die Glocke	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Glocke			Des Abends in den schmalen Straßen der großen Stadt, wenn die Sonne unterging und die Wolken oben wie Gold zwischen den Schornsteinen glänzten, hörte häufig bald der eine, bald der andere einen sonderbaren Laut, wie den Klang einer Kirchenglocke, aber man hörte es nur einen Augenblick, denn da war ein starkes Rasseln von Wagen und störendes Rufen.
42	142	24	Märchen	1900	Der böse Fürst	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+b%C3%B6se+F%C3%BCrst			Es war einmal ein böser und übermütiger Fürst, der nur darauf sann, alle Länder der Erde zu erobern und durch seinen Namen Furcht einzuflößen.
43	154	24	Märchen	1900	Der Schatten	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Schatten			In den heißen Ländern brennt die Sonne ganz gewaltig, die Leute werden ganz mahagonibraun, ja in den allerheißesten Ländern werden sie zu Negern gebrannt.
44	118	18	Märchen	1900	Der Wassertropfen	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Wassertropfen			Du kennst ja wohl ein Vergrößerungsglas, so ein rundes Brillenglas, welches alles hundertmal größer macht, als es ist?
45	100	18	Märchen	1900	Die Geschichte von einer Mutter	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Die+Geschichte+von+einer+Mutter			Da saß eine Mutter bei ihrem kleinen Kinde, sie war sehr betrübt und besorgt, daß es sterben möchte.
46	231	35	Märchen	1900	Der Halskragen	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Halskragen			Es war einmal ein feiner Herr, dessen sämtliches Hausgerät aus einem Stiefelknecht und einer Haarbürste bestand, aber er hatte den schönsten Halskragen von der Welt, und dieser Halskragen ist es, dessen Geschichte wir hören werden.
47	131	25	Märchen	1965	Der Königssohn	Bettina von Arnim	http://www.zeno.org/Literatur/M/Arnim,+Bettina+von/M%C3%A4rchen/%5BDer+K%C3%B6nigssohn%5D			Es war einmal ein König, der hatte ein herrliches Land, und seine Burg stand auf einem hohen Berg, von wo aus er weit sehen konnte.
48	164	31	Märchen	1965	Hans ohne Bart	Bettina von Arnim	http://www.zeno.org/Literatur/M/Arnim,+Bettina+von/M%C3%A4rchen/%5BHans+ohne+Bart%5D			Es war eine arme Frau, die hatt' einen Sohn, den konnte sie wegen ihrer Armut nicht mit Speis ernähren, mußt ihm also die Brust reichen, bis er sieben Jahr alt war.
49	54	9	Märchen	1965	Die blinde Königstochter	Bettina von Arnim	http://www.zeno.org/Literatur/M/Arnim,+Bettina+von/M%C3%A4rchen/%5BDie+blinde+K%C3%B6nigstochter%5D			Ein König hatte eine sehr schöne, aber blinde Tochter.
50	47	7	Märchen	1965	Abdalas Leuchter	Bettina von Arnim	http://www.zeno.org/Literatur/M/Arnim,+Bettina+von/M%C3%A4rchen/%5BAbdalas+Leuchter%5D			Abdala führte den schuldlosen Knaben zur Höhle.
51	132	23	Märchen	1965	Das Leben der Hochgräfin Gritta von Rattenzuhausbeiuns	Bettina von Arnim	http://www.zeno.org/Literatur/M/Arnim,+Bettina+von/M%C3%A4rchen/Das+Leben+der+Hochgr%C3%A4fin+Gritta+von+Rattenzuhausbeiuns			Es war einmal ein altes Schloß, umfaßt von hohen Bergen, das selber auf einem hohen Berg lag, etwas niederer als die ihn umgebenden.
52	272	45	Märchen	1971	Vom tapfern Schneiderlein	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Vom+tapfern+Schneiderlein			Es war einmal ein Schneiderlein, das saß in einer Stadt, die hieß Romadia; das hatte auf eine Zeit, da es arbeitete, einen Apfel neben sich liegen, darauf setzten sich viele Fliegen, wie das Sommerszeiten so gewöhnlich, die angelockt waren von dem süßen Geruch des Apfels.
53	110	18	Märchen	1971	Das Märchen von den sieben Schwaben	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Das+M%C3%A4rchen+von+den+sieben+Schwaben			Es waren einmal sieben Schwaben, die wollten große Helden sein und auf Abenteuer wandern durch die ganze Welt.
54	243	41	Märchen	1971	Vom Schwaben, der das Leberlein gefressen	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Vom+Schwaben,+der+das+Leberlein+gefressen			Als unser lieber Herr und Heiland noch auf Erden wandelte, von einer Stadt zur andern, das Evangelium predigte und viele Zeichen tat, kam zu ihm auf eine Zeit ein guter einfältiger Schwab, und fragte ihn: »Mein Leiden-Gesell, wo willt du hin?«
55	182	30	Märchen	1971	Die Probestücke des Meisterdiebes	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Die+Probest%C3%BCcke+des+Meisterdiebes			Es wohnten in einem Dorfe ein Paar sehr arme alte Leute mutterseelenallein in einem geringen Häuslein, das ganz weit draußen stand, und hörte gerade mit diesem Häuslein das Dorf auf.
56	125	21	Märchen	1971	Die verzauberte Prinzessin	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Die+verzauberte+Prinzessin			Es war einmal ein armer Handwerksmann, der hatte zwei Söhne, einen guten, der hieß Hans, und einen bösen, der hieß Helmerich.
57	225	34	Märchen	1971	Der Teufel ist los oder das Märlein, wie der Teufel den Branntwein erfand	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Der+Teufel+ist+los+oder+das+M%C3%A4rlein			Es hatten einmal zwei Landesherren einen Grenzstreit; da waren auf jeder Seite Zeugen, die das Recht behaupteten, und darunter waren zwei, die hatten vom Teufel die Schwarzkunst erlernt und ihm dafür ihre Seelen verschrieben.
58	116	18	Märchen	1971	Der Schmied von Jüterbogk	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Der+Schmied+von+J%C3%BCterbogk			Im Städtlein Jüterbogk hat einmal ein Schmied gelebt, von dem erzählen sich Kinder und Alte ein wundersames Märlein.
59	107	18	Märchen	1971	Hänsel und Gretel	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/H%C3%A4nsel+und+Gretel			Es war einmal ein armer Holzhauer, der lebte mit seiner Frau und zwei Kindern in einer dürftigen Waldhütte.
60	168	29	Märchen	1971	Das Rotkäppchen	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Das+Rotk%C3%A4ppchen			Es war einmal ein gar allerliebstes, niedliches Ding von einem Mädchen, das hatte eine Mutter und eine Großmutter, die waren gar gut und hatten das kleine Ding so lieb.
61	180	29	Märchen	1971	Der alte Zauberer und seine Kinder	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Der+alte+Zauberer+und+seine+Kinder			Es lebte einmal ein böser Zauberer, der hatte vorlängst zwei zarte Kinder geraubt, einen Knaben und ein Mägdlein, mit denen er in einer Höhle ganz einsam und einsiedlerisch hauste.
62	112	18	Märchen	1971	Die Goldmaria und die Pechmaria	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Die+Goldmaria+und+die+Pechmaria			Es war einmal eine Witwe, die hatte zwei Töchter, eine rechte Tochter und eine Stieftochter; beide hießen Maria.
63	218	38	Märchen	1971	Gevatter Tod	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Gevatter+Tod			Es lebte einmal ein sehr armer Mann, hieß Klaus, dem hatte Gott eine Fülle Reichtum beschert, der ihm große Sorge machte, nämlich zwölf Kinder, und über ein kleines so kam noch ein Kleines, das war das dreizehnte Kind.
64	151	27	Märchen	1971	Hirsedieb	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Hirsedieb			In einer Stadt wohnte ein sehr reicher Kaufmann, der hatte am Haus einen großen und prächtigen Garten, in dem auch ein Stück Land mit Hirse besäet war.
65	114	19	Märchen	1971	Der goldne Rehbock	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Der+goldne+Rehbock			Es waren einmal zwei arme Geschwister, ein Knabe und ein Mädchen, das Mädchen hieß Margarete, der Knabe hieß Hans.
66	164	31	Märchen	1971	Vom Zornbraten	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Vom+Zornbraten			Es war einmal ein Ritter, der hatte neben vielem Geld und Gut ein böses Weib, das wußte er nimmer zu bemeistern, und war schier auf Erden kein ärger Weib zu finden.
67	91	15	Märchen	1971	Das Nußzweiglein	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Das+Nu%C3%9Fzweiglein			Es war einmal ein reicher Kaufmann, der mußte in seinen Geschäften in fremde Länder reisen.
68	188	28	Märchen	1971	Der Mann ohne Herz	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Der+Mann+ohne+Herz			Es sind einmal sieben Brüder gewesen, waren arme Waisen, hatten keine Schwester, mußten alles im Hause selbst tun, das gefiel ihnen nicht, wurden Rates untereinander, sie wollten heiraten.
69	201	38	Märchen	1971	Der Richter und der Teufel	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Der+Richter+und+der+Teufel			In einer Stadt saß ein Mann, der hatte alle Kisten voll Geld und Gut, er selbst aber war voll aller Laster, so schlimm war er, daß es die Leute schier Wunders dünkte, daß ihn die Erde nicht verschlang.
70	156	26	Märchen	1971	Star und Badewännlein	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Star+und+Badew%C3%A4nnlein			Vor einem Wirtshaus im Walde hielt ein junger stattlicher Reitersmann, da trat eine feine Maid aus der Türe, grüßte ihn züchtig, und fragte, was er begehre.
71	191	35	Märchen	1971	Die beiden kugelrunden Müller	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Die+beiden+kugelrunden+M%C3%BCller			Es war einmal ein Müller, der war schon an sich sehr stark und dick, wollte aber auch fest sein gegen Hieb und Stich, gegen Bolz und Pfeil, darum steckte er sich in eine wunderliche Kleidung.
72	216	38	Märchen	1971	Die drei Federn	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Die+drei+Federn			Einem Mann wurde ein Söhnlein geboren, und da der Vater ausging, einen Paten zu suchen, der das Kind aus der Taufe hebe, so fand er einen jungen wunderschönen Knaben, gegen den sein Herz gleich ganz voll Liebe wurde.
73	179	30	Märchen	1971	Hans im Glücke	Ludwig Bechstein	http://www.zeno.org/Literatur/M/Bechstein,+Ludwig/M%C3%A4rchen/Deutsches+M%C3%A4rchenbuch/Hans+im+Gl%C3%BCcke			Es war einmal ein Bauernknabe, hieß Hans, ein ehrlich Blut, dünkte sich nicht auf den Kopf gefallen, der diente treu und ehrlich einem großen, reichen Herrn eine Reihe von Jahren.
