id	length	tokens	group	pubYear	title	author	source	lat	lon	incipit	
16	413	53	Roman	1888	Irrungen, Wirrungen	Theodor Fontane	https://www.deutschestextarchiv.de/book/view/fontane_irrungen_1888?p=0011	52.50540	13.34002	An dem Schnittpunkte von Kurfürſtendamm und Kurfürſtenſtraße, ſchräg gegenüber dem „Zoologiſchen“, befand ſich in der Mitte der 70er Jahre noch eine große, feldeinwärts ſich erſtreckende Gärtnerei, deren kleines, dreifenſtriges, in einem Vorgärtchen um etwa hundert Schritte zurückgelegenes Wohnhaus, trotz aller Kleinheit und Zurückgezogenheit, von der vorübergehenden Straße her ſehr wohl erkannt werden konnte.
17	278	43	Roman	1883	Schach von Wuthenow	Theodor Fontane	https://www.deutschestextarchiv.de/book/view/fontane_wuthenow_1883?p=0013	52.51547	13.38597	In dem Salon der in der Behrenſtraße wohnenden Frau v. Carayon und ihrer Tochter Victoire waren an ihrem gewöhnlichen Empfangsabend einige Freunde verſammelt, aber freilich wenige nur, da die große Hitze des Tages auch die treueſten Anhänger des Zirkels ins Freie gelockt hatte.
18	89	15	Roman	1810	Die Frau des Falkensteins	Caroline de la Motte-Fouqué	https://www.deutschestextarchiv.de/book/view/fouque_falkensteins01_1810?p=0011			Komm, ich bitte Dich, rief Mathilde, indem sie ein verhülltes Körbchen in die Höhe hielt.
19	302	39	Roman	1812	Magie der Natur	Caroline de la Motte-Fouqué	https://www.deutschestextarchiv.de/book/view/fouque_magie_1812?p=0010			Um die Zeit der großen Französischen Revolution sah man, noch mehrere Jahre hindurch, an den Ufern der Rhone, im südlichen Burgund, ein höchst prachtvolles, alterthümliches, Schloß sein unerschüttertes Dasein behaupten, während unscheinbare Besitzungen längst der freigegebenen Willkühr weichen mußten.
20	140	21	Roman	1871	Die letzte Reckenburgerin	Louise von François	https://www.deutschestextarchiv.de/book/view/francois_reckenburgerin01_1871?p=0008			Es war etwa zwei Jahre nach der Schlacht von Waterloo, als in einem niederländiſchen Gränzſtädtchen armen Eltern eine Tochter geboren wurde.
21	75	13	Roman	1820	Virginia oder die Kolonie von Kentucky	Henriette Frölich	https://www.deutschestextarchiv.de/book/view/froelich_virginia01_1820?p=0015	37.27381	-78.92341	Wie wirſt Du erſchrocken ſeyn, arme Adele, als Du mein Zimmer leer fandeſt?
22	168	30	Roman	1774	Die Leiden des jungen Werthers	Johann Wolfgang von Goethe	https://www.deutschestextarchiv.de/book/view/goethe_werther01_1774?p=3			Was ich von der Geſchichte des armen Werthers nur habe auffinden koͤnnen, habe ich mit Fleiß geſammlet, und leg es euch hier vor, und weis, daß ihr mir’s danken werdet.
23	219	32	Roman	1809	Die Wahlverwandtschaften	Johann Wolfgang von Goethe	https://www.deutschestextarchiv.de/book/view/goethe_wahlverw01_1809?p=0008			Eduard — ſo nennen wir einen reichen Baron im beſten Mannesalter — Eduard hatte in ſeiner Baumſchule die ſchoͤnſte Stunde eines Aprilnachmittags zugebracht, um friſch erhaltene Pfropfreiſer auf junge Staͤmme zu bringen.
24	34	5	Roman	1795	Wilhelm Meisters Lehrjahre	Johann Wolfgang von Goethe	https://www.deutschestextarchiv.de/book/view/goethe_lehrjahre01_1795?p=0011			Das Schauſpiel dauerte ſehr lange.
25	28	4	Roman	1913	Herrn Dames Aufzeichnungen […]	Fanny Gräfin zu Reventlow	https://www.deutschestextarchiv.de/book/view/reventlow_dames_1913?p=0009			Verehrter Freund und Gönner!
26	730	122	Roman	1673	Deß Weltberuffenen SIMPLICISSIMI Pralerey und Gepräng […]	Hans Jakob Christoffel von Grimmelshausen	https://www.deutschestextarchiv.de/book/view/grimmelshausen_michel_1673?p=0011			Mehr als gewiß ists / und es wirds auch nimmermehr kein Verständiger verneinen / daß es einem Manns-Menschen (die Weibsbilder werden billich von diesem Geschäfft in seiner gewissen Maaß ausgeschlossen / weil nicht viel auf die geraifte Frauen und erfahrne Jungfern gehalten wird) nicht übel: sonder recht wol / zier- und löblich anstehet / wann er vieler Sprachen erfahren; Und wann ein solcher das Lobwürdige / so er gelernet und begriffen / seinem Vatterland zum besten: und seinem Nächsten zum Nutzen anzulegen genaigt und beflissen ist / so ist er billich mehr zu ehren und hervor zu ziehen / als sonst tausend seiner andern Landsleuth / die nur hinterm Ofen gesessen / und nichts anders können / als Aepffel oder Birn braten.
27	89	16	Roman	1667	Exempel Der unveränderlichen Vorsehung Gottes	Hans Jakob Christoffel von Grimmelshausen	https://www.deutschestextarchiv.de/book/view/grimmelshausen_vorsehung_1667?p=0008			GLeich wie der Apffel nit weit vom Stamm faͤllt/ alſo ſchlaͤgt kein Zweig aus ſeiner Art!
28	179	28	Roman	1832	Briefe eines Narren an eine Närrin	Karl Gutzkow	https://www.deutschestextarchiv.de/book/view/gutzkow_narren_1832?p=0014			Wenn ich von meiner Freundin schriftliche Ergüsse ihrer Liebe erhalte, so sollte sie billig selbst nicht ausbleiben, um Zeuge der Aufnahme zu sein, die ich ihnen angedeihen lasse.
29	40	9	Roman	1877	Die neuen Serapionsbrüder	Karl Gutzkow	https://www.deutschestextarchiv.de/book/view/gutzkow_serapionsbrueder01_1877?p=0007			Wie –? Was –? rief man von allen Seiten.
30	421	63	Roman	1835	Wally, die Zweiflerin	Karl Gutzkow	https://www.deutschestextarchiv.de/book/view/gutzkow_wally_1835?p=0016			Auf weißem Zelter ſprengte im ſonnengolddurchwirkten Walde, Wally, ein Bild, das die Schönheit Aphroditens übertraf, da ſich bei ihm zu jedem klaſſiſchen Reize, der nur aus dem cypriſchen Meerſchaume gefloſſen ſein konnte, noch alle romantiſchen Zauber geſellten: ja ſelbſt die Drapperie der modernſten Zeit fehlte nicht, ein Vorzug, der ſich weniger in der Schönheit ſelbſt, als in ihrer Atmoſphäre kund zu geben pflegt.
31	18	3	Roman	1900	Muspilli	Arnold Hagenauer	https://www.deutschestextarchiv.de/book/view/hagenauer_muspilli_1900?p=0005			„Komm wieder! […]“
32	57	9	Roman	1690	Der Academische Roman	Eberhard Werner Happel	https://www.deutschestextarchiv.de/book/view/happel_roman_1690?p=0011			ACh/ ich Ungluͤckſeeliger! was fange ich doch nunmehr an?
33	254	38	Roman	1787	Ardinghello und die glückseeligen Inseln	Wilhelm Heinse	https://www.deutschestextarchiv.de/book/view/heinse_ardinghello01_1787?p=0015			Wir fuhren an einem Tuͤrkiſchen Schiffe vorbey, ſie brannten ihre Kanonen los: die Gondel wankte, worin ich aufgerichtet ſtand; ich verlor das Gleichgewicht, und ſtuͤrzte in die See, verwickelte mich in meinen Mantel, arbeitete vergebens, und ſank unter.
34	11	3	Roman	1778	Lebensläufe nach Aufsteigender Linie	Theodor Gottlieb von Hippel	https://www.deutschestextarchiv.de/book/view/hippel_lebenslaeufe01_1778?p=0011			Ich — Halt!
35	97	17	Roman	1822	Meister Floh	E. T. A. Hoffmann	https://www.deutschestextarchiv.de/book/view/hoffmann_floh_1822?p=8			Es war einmal — welcher Autor darf es jetzt wohl noch wagen, ſein Geſchichtlein alſo zu beginnen.
36	148	22	Roman	1815	Die Elixiere des Teufels	E. T. A. Hoffmann	https://www.deutschestextarchiv.de/book/view/hoffmann_elixiere01_1815?p=0009			Gern moͤchte ich Dich, guͤnſtiger Leſer! unter jene dunkle Platanen fuͤhren, wo ich die ſeltſame Geſchichte des Bruders Medardus zum erſtenmale las.
37	59	9	Roman	1797	Hyperion	Friedrich Hölderlin	https://www.deutschestextarchiv.de/book/view/hoelderlin_hyperion01_1797?p=13			Der liebe Vaterlandsboden giebt mir wieder Freude und Leid.
38	37	6	Roman	1852	Dreißigſtes Kapitel	Karl von Holtei	https://www.deutschestextarchiv.de/book/view/holtei_vagabunden02_1852?p=0003			Die Linden ſtanden in voller Bluͤthe.
39	46	8	Roman	1838	Münchhausen	Karl Immermann	https://www.deutschestextarchiv.de/book/view/immermann_muenchhausen01_1838?p=0011			Was für ein ſchändliches Laſter iſt das Lügen!
40	185	33	Roman	1792	Eduard Allwills Briefsammlung	Friedrich Heinrich Jacobi	https://www.deutschestextarchiv.de/book/view/jacobi_allwill_1792?p=0039			Ja, mein Freund, noch alle Tage wird es oͤder um mich her; und ſo ſetzt ſich denn die ſonderbare Gemuͤthsſtimmung, die Du an mir tadelſt, und wofuͤr Du keinen Namen weißt, immer feſter.
41	226	36	Roman	1793	Die unsichtbare Loge	 Jean Paul	https://www.deutschestextarchiv.de/book/view/paul_loge01_1793?p=0015	50.03923	12.00342	Ich wollte den Vorredner Anfangs in Sichersreuth — einen Sauerbrunnen bei Wonſiedel — verfertigen, wo ich mich und die Meinigen des Podagra wegen baden mußte, das ich mir bloß durch gegenwaͤrtiges Buch in den Leib geſchrieben.
42	168	24	Roman	1809	D. Katzenbergers Badereise	Jean Paul	https://www.deutschestextarchiv.de/book/view/paul_katzenberger01_1809?p=21	49.00124	8.81307	”Ein Gelehrter, der den erſten July mit ſeiner Tochter in ſeinem Wagen mit eignen Pferden ins Bad Maulbronn abreiſet, wuͤnſcht einige oder mehrere Reiſegeſellſchafter.”
43	227	38	Roman	1804	Flegeljahre	Jean Paul	https://www.deutschestextarchiv.de/book/view/paul_flegeljahre01_1804?p=0011			So lange Haslau eine Reſidenz iſt, wußte man ſich nicht zu erinnern, daß man darin auf etwas mit ſolcher Neugier gewartet haͤtte — die Geburt des Erbprinzen ausgenommen — als auf die Eroͤfnung des Van der Kabelſchen Teſtaments.
44	317	55	Roman	1795	Hesperus, oder 45 Hundsposttage	Jean Paul	https://www.deutschestextarchiv.de/book/view/paul_hesperus01_1795?p=0022			Im Hauſe des Hofkaplans Eymann im Baddorfe St. Luͤne waren zwei Partheien: die eine war den 30. April froh, daß der Held dieſer Geſchichte, der junge Englaͤnder Horion den 1. Mai aus Goͤttingen zuruͤkkaͤme und in der Kaplanei bliebe — der andern wars nicht recht, ſie wollte haben, er ſollte erſt den 4. Mai anlangen.
45	215	33	Roman	1800	Titan	Jean Paul	https://www.deutschestextarchiv.de/book/view/paul_titan01_1800?p=0021	45.89541	8.52701	An einem ſchönen Frühlingsabend kam der junge Spaniſche Graf von Ceſara mit ſeinen Begleitern Schoppe und Dian nach Seſto, um den andern Morgen nach der borromäiſchen Inſel Isola bella im Lago maggiore überzufahren.
46	115	19	Roman	1925	Der Prozess	Franz Kafka	https://www.deutschestextarchiv.de/book/view/kafka_prozess_1925?p=0003			Jemand mußte Josef K. verleumdet haben, denn ohne daß er etwas Böses getan hätte, wurde er eines Morgens verhaftet.
47	264	45	Roman	1854	Der grüne Heinrich	Gottfried Keller	https://www.deutschestextarchiv.de/book/view/keller_heinrich01_1854?p=15			Zu den Schoͤnſten vor Allen in der Schweiz gehoͤren diejenigen Staͤdte, welche an einem See und an einem Fluſſe zugleich liegen, ſo, daß ſie wie ein weites Thor am Ende des See's unmittelbar den Fluß aufnehmen, welcher mitten durch ſie hin in das Land hinauszieht.
48	243	40	Roman	1805	Nachtwachen	Ernst August Friedrich Klingemann	https://www.deutschestextarchiv.de/book/view/klingemann_nachtwachen_1805?p=0003			Die Nachtſtunde ſchlug; ich huͤllte mich in meine abenteuerliche Vermummung, nahm die Pike und das Horn zur Hand, ging in die Finſterniß hinaus und rief die Stunde ab, nachdem ich mich durch ein Kreuz gegen die boͤſen Geiſter geſchuͤtzt hatte.
49	204	28	Roman	1791	Fausts Leben, Thaten und Höllenfahrt	Friedrich Maximilian von Klinger	https://www.deutschestextarchiv.de/book/view/klinger_faust_1791?p=0014			Lange hatte ſich Fauſt, mit den Seifenblaſen der Metaphyſik, den Irrwiſchen der Moral, und den Schatten der Theologie herumgeſchlagen, ohne eine feſte, haltbare Geſtalt, fuͤr ſeinen Sinn herauszukaͤmpfen.
50	132	20	Roman	1799	Die Jobsiade	Carl Arnold Kortum	https://www.deutschestextarchiv.de/book/view/kortum_jobsiade01_1799?p=25			Euch und mir die Zeit zu vertreiben, Geneigte Leſer! will ich itzt ſchreiben, Eine extrafeine Hiſtoriam Von Hieronimus Jobs lobeſam.
51	163	29	Roman	1896	Der Medizinmann	Robert Kraft	https://www.deutschestextarchiv.de/book/view/kraft_medizinmann_1896?p=0003	9.99299	-84.12934	Der alte Samuel Peters in San Franzisko war ein Sonderling durch und durch, und wer mit ihm in Verkehr trat, den zog er mit hinein in sein geheimnisvolles Treiben.
52	88	14	Roman	1888	Meister Timpe	Max Kretzer	https://www.deutschestextarchiv.de/book/view/kretzer_timpe_1888?p=0013	52.52437	13.41053	Berlin ſchlief noch, aber es lag in jenem leiſen Schlummer, der dem Erwachen vorhergeht.
53	14	2	Roman	1855	Der Amerika-Müde	Ferdinand Kürnberger	https://www.deutschestextarchiv.de/book/view/kuernberger_amerikamuede_1855?p=0019			„Amerika! […]“
54	83	12	Roman	1855	Der Sonnenwirth	Hermann Kurz	https://www.deutschestextarchiv.de/book/view/kurz_sonnenwirth_1855?p=0017			Nun, Meiſter Schwan, für diesmal iſt Er chriſtlich durchgekommen, ſtraf' mich Gott!
55	82	14	Roman	1771	Geschichte des Fräuleins von Sternheim	Sophie von La Roche	https://www.deutschestextarchiv.de/book/view/laroche_geschichte01_1771?p=0027			Sie ſollen mir nicht danken, meine Freundinn, daß ich ſo viel fuͤr Sie abſchreibe.
56	32	6	Roman	1897	Auf zwei Planeten	Kurd Laßwitz	https://www.deutschestextarchiv.de/book/view/lasswitz_planeten01_1897?p=0011			Eine Schlange jagt über das Eis.
57	121	16	Roman	1864	Adele	Fanny Lewald	https://www.deutschestextarchiv.de/book/view/lewald_adele_1864?p=0011			Der Buchhändler Willmar war ein sehr geachteter Mann gewesen, sein Verlagsgeschäft eines der bekanntesten und thätigsten.
58	498	69	Roman	1843	Jenny	Fanny Lewald	https://www.deutschestextarchiv.de/book/view/lewald_jenny01_1843?p=0013			Bei Gerhard, dem erſten Reſtaurant einer großen deutſchen Handelsſtadt, hatte ſich im Spätherbſt des Jahres 1832 nach dem Theater eine Geſellſchaft von jungen Leuten in einem beſondern Zimmer zuſammengefunden, die anfänglich während des Abendeſſens heiter die Begegniſſe des Tages beſprachen, allmälig zu dem Theater und den Schauſpielern zurückkehrten und nun in ſchäumendem Champagner das Wohl einer gefeierten Künſtlerin, der Giovanolla, tranken, welche an jenem Abende die Bühne betreten hatte.
59	120	19	Roman	1856	Zwischen Himmel und Erde	Otto Ludwig	https://www.deutschestextarchiv.de/book/view/ludwig_himmel_1856?p=0010			Das Gärtchen liegt zwiſchen dem Wohnhauſe und dem Schieferſchuppen; wer von dem einen zum andern geht, muß daran vorbei.
60	68	10	Roman	1892	Durchs Wilde Kurdistan	Karl May	https://www.deutschestextarchiv.de/book/view/may_kurdistan_1892?p=0015			Wir kehrten von dem Beſuche des Häuptlings der Badinankurden zurück.
61	129	18	Roman	1843	Maria Schweidler die Bernsteinhexe	Wilhelm Meinhold	https://www.deutschestextarchiv.de/book/view/meinhold_bernsteinhexe_1843?p=17			Die Abkunft unſers Biographen kann bei dem verloren gegangenen Anfange ſeiner Schrift nicht mehr mit Genauigkeit beſtimmt werden.
62	104	15	Roman	1876	Georg Jenatsch. Eine alte Bündnergeschichte	Conrad Ferdinand Meyer	https://www.deutschestextarchiv.de/book/view/meyer_jenatsch_1876?p=0013	46.46946	9.72537	Die Mittagsſonne ſtand über der kahlen, von Felshäuptern umragten Höhe des Julierpaſſes im Lande Bünden.
63	321	51	Roman	1648	Don Kichote de la Mantzscha	Miguel de Cervantes	https://www.deutschestextarchiv.de/book/view/basteln_kichote_1648?p=13	39.401111	-3.015	AN einem Ort der Landschafft Mantzscha oder Fleckenland / dessen Nahmens ich mich nicht erinnern mag / lebte vor wenigen Zeiten ein Rittersasse auß der Zunfft der jenigen / welche den Sperr vnterm Dach verwahrt liegen haben vnd mit einem Altväterischen Schilde / einem hagern Gaul vnd flüchtigem Windhunde versehen seynd.
64	69	8	Roman	1832	Maler Nolten	Eduard Mörike	https://www.deutschestextarchiv.de/book/view/moerike_nolten01_1832?p=0011			Ein heiterer Juniusnachmittag beſonnte die Straßen der Reſidenzſtadt.
65	161	20	Roman	1785	Anton Reiser	Karl Philipp Moritz	https://www.deutschestextarchiv.de/book/view/moritz_reiser01_1785?p=9			Dieſer pſychologiſche Roman koͤnnte auch allenfalls eine Biographie genannt werden, weil die Beobachtungen groͤßtentheils aus dem wirklichen Leben genommen ſind.
66	430	65	Roman	1760	Grandison der Zweite […]	Johann Karl August Musäus	https://www.deutschestextarchiv.de/book/view/musaeus_grandison01_1760?p=0016			Die Ehre, die ich ehemals gehabt habe, Sie in allerlei guten Wissenschaften zu unterrichten; die Erlaubnis, welche Sie mir vor Ihrer Abreise gaben, oft an Sie zu schreiben, und der ausdrückliche Befehl meiner gnädigen Herrschaft, einen Briefwechsel mit Ihnen zu unterhalten, berechtigen mich zur Erfüllung meines eigenen Wunsches, dem Geiste nach Sie auf Ihren Reisen zu begleiten: ob ich gleich körperlich von Ihnen entfernt bin.
67	68	11	Roman	1851	Die Kammerjungfer. Eine Stadtgeschichte	Marie Nathusius	https://www.deutschestextarchiv.de/book/view/nathusius_kammerjungfer_1851?p=9			Es bleibt dabei, ich vermiethe mich! ſagte Klärchen zu ihrer Mutter.
68	253	36	Roman	1773	Das Leben und die Meinungen des Herrn Magister Sebaldus Nothanker	Friedrich Nicolai	https://www.deutschestextarchiv.de/book/view/nicolai_nothanker01_1773?p=0021			Der Paſtor Sebaldus und die ſchoͤne Wilhelmine, brachten die erſten Monate nach ihrer Verheirathung, welche ſonſt andern neuverehlichten Paaren die Zeit einer girrenden Zaͤrtlichkeit zu ſeyn pflegen, vielmehr in einer Art von Kaͤlte und Verlegenheit zu.
69	188	29	Roman	1802	Heinrich von Ofterdingen	Novalis	https://www.deutschestextarchiv.de/book/view/novalis_ofterdingen_1802?p=15			Die Eltern lagen ſchon und ſchliefen, die Wanduhr ſchlug ihren einförmigen Takt, vor den klappernden Fenſtern ſauſte der Wind; abwechſelnd wurde die Stube hell von dem Schimmer des Mondes.
70	16	3	Roman	1846	Schloß und Fabrik	Louise Otto	https://www.deutschestextarchiv.de/book/view/otto_schloss01_1846?p=0013			Zehn Uhr Abends.
71	35	5	Roman	1849	Ein Bauernsohn	Louise Otto-Peters	https://www.deutschestextarchiv.de/book/view/otto_bauernsohn_1849?p=0009			Heil’ger Abend iſt’s vor Pfingſten.
72	49	7	Roman	1794	Bertha von Wöllstein. Eine Reihe von Briefen aus dem Mittelalter	Johann Gottfried Pahl	https://www.deutschestextarchiv.de/book/view/pahl_bertha_1794?p=5			Ich habe Kunzen schon wieder gesehen, Mechthilde!
73	31	6	Roman	1781	Lienhard und Gertrud	Johann Heinrich Pestalozzi	https://www.deutschestextarchiv.de/book/view/pestalozzi_lienhard01_1781?p=0026	47.50628	6.35583	Es wohnt in Bonnal ein Maͤurer.
74	70	11	Roman	1895	Der Büttnerbauer	Wilhelm von Polenz	https://www.deutschestextarchiv.de/book/view/polenz_buettnerbauer_1895?p=0015			Der Großbauer Traugott Büttner ging mit ſeinen zwei Söhnen zur Kirche.
75	270	33	Roman	1889	Das Odfeld	Wilhelm Raabe	https://www.deutschestextarchiv.de/book/view/raabe_odfeld_1889?p=0009	51.89537	9.59394	Dicht am Odfelde, in der angenehmſten Mitte des Tilithioder auch Wikanafeldiſtan-Gaus, liegt auf dem Auerberge über dem romantiſchen, vom luſtigen Forſtbach durchrauſchten, heute freilich arg durch Steinbrecherfäuſte verwüſteten Hoopthal das uralte Kloſter Amelungsborn.
76	332	49	Roman	1896	Die Akten des Vogelsangs	Wilhelm Raabe	https://www.deutschestextarchiv.de/book/view/raabe_akten_1896?p=11			An einem Novemberabend bekam ich, (der Leutnant der Reſerve liegt als längſt abgethan bei den Papieren des deutſchen Heerbannes) Oberregierungsrath Dr. jur. K. Krumhardt, unter meinen übrigen Poſtſachen folgenden Brief in einer ſchönen feſten Handſchrift, von der man es kaum für möglich halten ſollte, daß ſie einem Weibe zugehöre.
77	33	6	Roman	1857	Die Chronik der Sperlingsgasse	Wilhelm Raabe	https://www.deutschestextarchiv.de/book/view/raabe_sperlingsgasse_1857?p=0011			Es iſt eigentlich eine böſe Zeit!
78	145	24	Roman	1891	Stopfkuchen	Wilhelm Raabe	https://www.deutschestextarchiv.de/book/view/raabe_stopfkuchen_1891?p=0011			Es liegt mir daran, gleich in den erſten Zeilen dieſer Niederſchrift zu beweiſen oder darzuthun, daß ich noch zu den Gebildeten mich zählen darf.
79	270	36	Roman	1786	Wunderbare Reisen zu Wasser und Lande […]	Rudolf Erich Raspe	https://www.deutschestextarchiv.de/book/view/buerger_muenchhausen_1786?p=0010	52.10397	9.35623	Der Freyherr von Muͤnchhauſen zu Bodenwerder, ohnweit Hameln an der Weſer, gehoͤrt zu dem edlen Geſchlechte gleiches Nahmens, welches den deutſchen Staaten des Koͤnigs von Großbritannien den verſtorbenen Premierminiſter und mehrere andere vornehme Beamten geſchenkt hat.
80	86	16	Roman	1785	Der fliegende Mensch	Nicolas-Edme Rétif de La Bretonne	https://www.deutschestextarchiv.de/book/view/retif_mensch_1785?p=0009	48.85341	2.3488	Es war im November 1776, als ich mit der Diligence von Lion nach Paris zuruͤck kehrte.
81	92	15	Roman	1748	Clarissa	Samuel Richardson	https://www.deutschestextarchiv.de/book/view/richardson_clarissa01_1748?p=0021			Jch bin wegen der Unruhe, die Jhr Haus ſeit kurtzen in Verwirrung geſetzet, ſehr bekuͤmmert.
82	24	3	Roman	1875	Die Schriften des Waldschulmeisters	Peter Rosegger	https://www.deutschestextarchiv.de/book/view/rosegger_waldschulmeister_1875?p=0011			[„]Weg nach Winkelſteg.“
83	213	36	Roman	1807	Gemälde weiblicher Erziehung	Caroline Christiane Louise Rudolphi	https://www.deutschestextarchiv.de/book/view/rudolphi_erziehung01_1807?p=17			Du foderſt mich auf, liebe Emma, Deine Wegweiſerin zu werden in dem ſchönen Beruf, den unſer aller Mutter Dir kürzlich auferlegt, und wodurch ſie Dich ſo hoch geehrt hat, als ſie ein menſchliches Weſen ehren kann.
